ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
['NC_054264']	Catostomus discobolus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Catostomoidei', 'Catostomidae', 'Catostomus']	        tRNA [15605:15676](-) ['tRNA-Pro']	D-loop [15676:16623](+) None	source [0:16623](+) None	
['NC_053357']	Sycanus croceovittatus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Heteroptera', 'Panheteroptera', 'Cimicomorpha', 'Reduviidae', 'Harpactorinae', 'Harpactorini', 'Sycanus']	        rRNA [13943:14712](-) ['12S ribosomal RNA']	misc_feature [14712:15644](+) None	source [0:15644](+) None	
['NC_053797']	Grammomys dolichurus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Grammomys']	        tRNA [15332:15399](-) ['tRNA-Pro']	D-loop [15399:16333](+) None	source [0:16333](+) None	
['NC_053796']	Grammomys surdaster	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Grammomys']	        tRNA [15316:15383](-) ['tRNA-Pro']	D-loop [15383:>16313](+) None	source [0:16313](+) None	
['NC_053569']	Scorpiops tibetanus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Chelicerata', 'Arachnida', 'Scorpiones', 'Iurida', 'Chactoidea', 'Euscorpiidae', 'Scorpiopinae', 'Scorpiopini', 'Scorpiops']	        rRNA [13432:14163](-) ['12S ribosomal RNA']	D-loop [14163:14825](+) None	source [0:14825](+) None	
['NC_054263']	Catostomus latipinnis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Catostomoidei', 'Catostomidae', 'Catostomus']	        tRNA [15604:15675](-) ['tRNA-Pro']	D-loop [15675:16624](+) None	source [0:16624](+) None	
['NC_054157']	Eutrichosiphum pasaniae	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Sternorrhyncha', 'Aphidomorpha', 'Aphidoidea', 'Aphididae', 'Greenideinae', 'Eutrichosiphum']	        gene [16430:16499](-) None	tRNA [16430:16499](-) ['tRNA-Tyr']	gene [15103:15168](+) None	
['NC_053360']	Nereis zonata	['Eukaryota', 'Metazoa', 'Spiralia', 'Lophotrochozoa', 'Annelida', 'Polychaeta', 'Errantia', 'Phyllodocida', 'Nereididae', 'Nereis']	        gene [15693:15755](+) None	tRNA [15693:15755](+) ['tRNA-Cys']	gene [3558:3621](+) None	
['NC_054299']	Discogobio macrophysallidos	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Cyprinidae', 'Labeoninae', "'Semilabeonini'", 'Discogobio']	        tRNA [15587:15657](-) ['tRNA-Pro']	D-loop [15657:16593](+) None	source [0:16593](+) None	
['NC_054255']	Sinomicrurus macclellandi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Colubroidea', 'Elapidae', 'Elapinae', 'Sinomicrurus']	        tRNA [16063:16124](-) ['tRNA-Pro']	D-loop [16124:17120](+) None	source [0:17120](+) None	
['NC_053808']	Dephomys defua	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Dephomys']	        tRNA [15302:15369](-) ['tRNA-Pro']	D-loop [15369:16248](+) None	source [0:16252](+) None	
['NC_054191']	Tupaia montana	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Scandentia', 'Tupaiidae', 'Tupaia']	        tRNA [15326:15394](-) ['tRNA-Pro']	misc_feature [15394:16183](+) None	source [0:16183](+) None	
['NC_054348']	Mollitrichosiphum tenuicorpus	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Sternorrhyncha', 'Aphidomorpha', 'Aphidoidea', 'Aphididae', 'Greenideinae', 'Mollitrichosiphum']	        gene [15659:15726](-) None	tRNA [15659:15726](-) ['tRNA-Tyr']	gene [14311:14376](+) None	
['NC_053756']	Astyanax lacustris	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Astyanax']	        tRNA [15594:15663](-) ['tRNA-Pro']	D-loop [15663:16763](+) None	source [0:16763](+) None	
['NC_053757']	Psalidodon rivularis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Characiformes', 'Characoidei', 'Characidae', 'Psalidodon']	        tRNA [15606:15676](-) ['tRNA-Pro']	D-loop [15676:16779](+) None	source [0:16779](+) None	
['NC_053966']	Crossarchus platycephalus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Laurasiatheria', 'Carnivora', 'Feliformia', 'Herpestidae', 'Crossarchus']	        tRNA [15381:15447](-) ['tRNA-Pro']	D-loop [15448:16846](+) None	source [0:16846](+) None	
['NC_053637']	Moolgarda perusii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Mugilomorphae', 'Mugilidae', 'Moolgarda']	        tRNA [15852:15923](-) ['tRNA-Pro']	D-loop [15923:16781](+) None	source [0:16781](+) None	
['NC_053804']	Lamottemys okuensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Lamottemys']	        tRNA [15319:15387](-) ['tRNA-Pro']	D-loop [15387:16241](+) None	source [0:16243](+) None	
['NC_053853']	Togoperla limbata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Plecoptera', 'Perloidea', 'Perlidae', 'Togoperla']	        rRNA [14091:14922](-) ['12S ribosomal RNA']	misc_feature [14922:15915](+) None	source [0:15915](+) None	
['NC_053624']	Schizoneuraphis gallarum	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Paraneoptera', 'Hemiptera', 'Sternorrhyncha', 'Aphidomorpha', 'Aphidoidea', 'Hormaphididae', 'Nipponaphidini', 'Schizoneuraphis']	        gene [14922:14989](-) None	tRNA [14922:14989](-) ['tRNA-Tyr']	gene [13610:13677](+) None	
['NC_054187']	Tachysurus virgatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Siluriformes', 'Bagridae', 'Tachysurus']	        tRNA [15563:15633](-) ['tRNA-Pro']	misc_feature [15633:16524](+) None	source [0:16524](+) None	
['NC_054285']	Polyphylla gracilicornis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Coleoptera', 'Polyphaga', 'Scarabaeiformia', 'Scarabaeidae', 'Melolonthinae', 'Polyphylla']	        rRNA [13870:14663](-) ['12S ribosomal RNA']	D-loop [14663:16793](+) None	source [0:16793](+) None	
['NC_053789']	Solegnathus spinosissimus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Syngnathiaria', 'Syngnathiformes', 'Syngnathoidei', 'Syngnathidae', 'Solegnathus']	        tRNA [15539:15613](-) ['tRNA-Pro']	D-loop [15613:16530](+) None	source [0:16530](+) None	
['NC_053813']	Thamnomys kempi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Thamnomys']	        tRNA [15321:15387](-) ['tRNA-Pro']	D-loop [15387:16270](+) None	source [0:16270](+) None	
['NC_053903']	Paramesotriton aurantius	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Amphibia', 'Batrachia', 'Caudata', 'Salamandroidea', 'Salamandridae', 'Pleurodelinae', 'Paramesotriton']	        tRNA [15509:15581](-) ['tRNA-Pro']	D-loop [15581:16313](+) None	source [0:16313](+) None	
['NC_053908']	Pseudoxenodon stejnegeri	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Lepidosauria', 'Squamata', 'Bifurcata', 'Unidentata', 'Episquamata', 'Toxicofera', 'Serpentes', 'Colubroidea', 'Colubridae', 'Pseudoxenodontinae', 'Pseudoxenodon']	        gene [18412:18475](+) None	tRNA [18412:18475](+) ['tRNA-Ile']	gene [18412:18475](+) None	
['NC_053867']	Anhinga melanogaster	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Pelecaniformes', 'Anhingidae', 'Anhinga']	        misc_feature [16605:17154](+) None	misc_feature [17154:17561](+) None	misc_feature [16605:17154](+) None	
['NC_053809']	Hybomys planifrons	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Hybomys']	        tRNA [15327:15394](-) ['tRNA-Pro']	D-loop [15396:16253](+) None	source [0:16253](+) None	
['NC_053810']	Hybomys trivirgatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Hybomys']	        tRNA [15324:15391](-) ['tRNA-Pro']	D-loop [15393:16252](+) None	source [0:16257](+) None	
['NC_053543']	Svistella anhuiensis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Orthoptera', 'Ensifera', 'Gryllidea', 'Grylloidea', 'Gryllidae', 'Trigonidiinae', 'Svistella']	        tRNA [15011:15078](-) ['tRNA-Val']	D-loop [15078:16494](+) None	source [0:16494](+) None	
['NC_053802']	Arvicanthis rufinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Arvicanthis']	        tRNA [15330:15397](-) ['tRNA-Pro']	D-loop [15399:16261](+) None	source [0:16262](+) None	
['NC_053695']	Casmara patrona	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Gelechioidea', 'Oecophoridae', 'Oecophorinae', 'Casmara']	        rRNA [14218:15002](-) ['12S ribosomal RNA']	D-loop [15059:15337](+) None	source [0:15393](+) None	
['NC_053362']	Psylliodes chlorophana	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Coleoptera', 'Polyphaga', 'Cucujiformia', 'Chrysomeloidea', 'Chrysomelidae', 'Galerucinae', 'Alticini', 'Psylliodes']	        rRNA [13802:14544](-) ['12S ribosomal RNA']	misc_feature [14544:14561](+) None	source [0:14561](+) None	
['NC_053557']	Paraleuctra cercia	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Plecoptera', 'Nemouroidea', 'Leuctridae', 'Leuctrinae', 'Paraleuctra']	        rRNA [14046:14836](-) ['12S ribosomal RNA']	misc_feature [14836:15625](+) None	source [0:15625](+) None	
['NC_053558']	Perlomyia isobeae	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Plecoptera', 'Nemouroidea', 'Leuctridae', 'Leuctrinae', 'Perlomyia']	        rRNA [14068:14870](-) ['12S ribosomal RNA']	misc_feature [14870:15795](+) None	source [0:15795](+) None	
['NC_053728']	Reticulitermes ovatilabrum	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Dictyoptera', 'Blattodea', 'Blattoidea', 'Termitoidae', 'Rhinotermitidae', 'Reticulitermes']	        rRNA [14073:14810](-) ['12S ribosomal RNA']	D-loop [14810:15913](+) None	source [0:15913](+) None	
['NC_053798']	Grammomys selousi	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Grammomys']	        tRNA [15319:15385](-) ['tRNA-Pro']	D-loop [15385:16314](+) None	source [0:16314](+) None	
['NC_053795']	Tanyptera hebeiensis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Diptera', 'Nematocera', 'Tipuloidea', 'Tipulidae', 'Tanyptera']	        rRNA [14032:14823](-) ['12S ribosomal RNA']	misc_feature [14823:15888](+) None	source [0:15888](+) None	
['NC_053887']	Hemipenthes neimengguensis	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Diptera', 'Brachycera', 'Muscomorpha', 'Asiloidea', 'Bombyliidae', 'Anthracinae', 'Exoprosopini', 'Hemipenthes']	        rRNA [14039:14832](-) ['12S ribosomal RNA']	misc_feature [14832:15405](+) None	source [0:15405](+) None	
['NC_054195']	Eclipophleps carinata	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Polyneoptera', 'Orthoptera', 'Caelifera', 'Acrididea', 'Acridomorpha', 'Acridoidea', 'Acrididae', 'Gomphocerinae', 'Eclipophleps']	        rRNA [14041:14833](-) ['12S ribosomal RNA']	D-loop [14833:15781](+) None	source [0:15781](+) None	
['NC_054292']	Pungtungia herzi x Pseudopungtungia nigra	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Ostariophysi', 'Cypriniformes', 'Gobionidae', 'Sarcocheilichthyinae']	        tRNA [15602:15672](-) ['tRNA-Pro']	D-loop [15672:16601](+) None	source [0:16601](+) None	
['NC_019617']	Niviventer excelsior	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Mammalia', 'Eutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Myomorpha', 'Muroidea', 'Muridae', 'Murinae', 'Niviventer']	        tRNA [15335:15403](-) ['tRNA-Pro']	D-loop [15403:16298](+) None	source [0:16298](+) None	
['NC_054728']	Falco naumanni	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Falconiformes', 'Falconidae', 'Falco']	        tRNA [16847:16918](-) ['tRNA-Glu']	misc_feature [16918:17652](+) None	source [0:17652](+) None	
['NC_021933']	Appalachioria falcifera	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Myriapoda', 'Diplopoda', 'Helminthomorpha', 'Polydesmida', 'Xystodesmidae', 'Xystodesminae', 'Apheloriini', 'Appalachioria']	        tRNA [14342:14402](+) ['tRNA-Thr']	misc_feature [14402:15282](+) None	source [0:15282](+) None	
['NC_009626']	Penaeus vannamei	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Crustacea', 'Multicrustacea', 'Malacostraca', 'Eumalacostraca', 'Eucarida', 'Decapoda', 'Dendrobranchiata', 'Penaeoidea', 'Penaeidae', 'Penaeus']	        rRNA [14139:14995](-) ['s-rRNA']	D-loop [14995:15990](+) None	source [0:15990](+) None	
['NC_010266']	Manduca sexta	['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Endopterygota', 'Lepidoptera', 'Glossata', 'Ditrysia', 'Bombycoidea', 'Sphingidae', 'Sphinginae', 'Sphingini', 'Manduca']	        rRNA [14415:15192](-) ['s-rRNA']	misc_feature [15192:15516](+) None	source [0:15516](+) None	
['NC_001453']	Strongylocentrotus purpuratus	['Eukaryota', 'Metazoa', 'Echinodermata', 'Eleutherozoa', 'Echinozoa', 'Echinoidea', 'Euechinoidea', 'Echinacea', 'Camarodonta', 'Echinidea', 'Strongylocentrotidae', 'Strongylocentrotus']	        misc_feature [15282:15588](+) None	misc_feature order{[15312:15315](+), [15318:15324](+), [15330:15333](+), [15339:15345](+), [15390:15393](+)} None	repeat_region [1158:1178](+) None	
['NC_001626']	Petromyzon marinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Cyclostomata', 'Hyperoartia', 'Petromyzontiformes', 'Petromyzontidae', 'Petromyzon']	        tRNA [15931:16002](-) ['tRNA-Glu']	repeat_region [16002:16201](+) None	gene [15858:15930](+) None	
['NC_001804']	Latimeria chalumnae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Coelacanthiformes', 'Coelacanthidae', 'Latimeria']	        tRNA [15557:15626](-) ['tRNA-Pro']	D-loop [15626:16407](+) None	source [0:16407](+) None	
['NC_009577']	Clupea harengus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Clupei', 'Clupeiformes', 'Clupeoidei', 'Clupeidae', 'Clupea']	        tRNA [15584:15654](-) ['tRNA-Pro']	D-loop [15654:16701](+) None	source [0:16701](+) None	
['NC_004593']	Esox lucius	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox']	        tRNA [15553:15623](-) ['tRNA-Pro']	D-loop [15623:16695](+) None	source [0:16695](+) None	
['NC_017838']	Oncorhynchus keta	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Oncorhynchus']	        tRNA [15585:15655](-) ['tRNA-Pro']	D-loop [15655:16656](+) None	source [0:16656](+) None	
['NC_009263']	Oncorhynchus kisutch	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Oncorhynchus']	        gene [16589:16659](-) None	tRNA [16589:16659](-) ['tRNA-Pro']	gene [1002:1070](+) None	
['NC_001717']	Oncorhynchus mykiss	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Oncorhynchus']	        gene [16572:16642](-) None	tRNA [16572:16642](-) ['tRNA-Pro']	gene [1003:1071](+) None	
['NC_008615']	Oncorhynchus nerka	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Oncorhynchus']	        gene [16588:16658](-) None	tRNA [16588:16658](-) ['tRNA-Pro']	gene [1004:1072](+) None	
['NC_001960']	Salmo salar	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salmo']	        gene [16595:16665](-) None	tRNA [16595:16665](-) ['tRNA-Pro']	gene [1006:1074](+) None	
['NC_000861']	Salvelinus alpinus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Protacanthopterygii', 'Salmoniformes', 'Salmonidae', 'Salmoninae', 'Salvelinus']	        gene [16589:16659](-) None	tRNA [16589:16659](-) ['tRNA-Pro']	gene [998:1066](+) None	
['NC_002081']	Gadus morhua	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Zeiogadaria', 'Gadariae', 'Gadiformes', 'Gadoidei', 'Gadidae', 'Gadus']	        tRNA [15630:15719](-) ['tRNA-Pro']	misc_feature [15719:16696](+) None	source [0:16696](+) None	
['NC_011379']	Xiphophorus maculatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Poeciliidae', 'Poeciliinae', 'Xiphophorus']	        tRNA [15717:15787](-) ['tRNA-Pro']	D-loop [15787:16646](+) None	source [0:16646](+) None	
['NC_013089']	Xiphophorus hellerii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Poeciliidae', 'Poeciliinae', 'Xiphophorus']	        tRNA [15708:15778](+) ['tRNA-Pro']	D-loop [15778:16635](+) None	source [0:16635](+) None	
['NC_004387']	Oryzias latipes	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Beloniformes', 'Adrianichthyidae', 'Oryziinae', 'Oryzias']	        tRNA [15571:15641](-) ['tRNA-Pro']	D-loop [15641:16714](+) None	source [0:16714](+) None	
['NC_007439']	Lates calcarifer	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Carangaria', 'Carangaria incertae sedis', 'Centropomidae', 'Lates']	        gene [16468:16535](+) None	tRNA [16468:16535](+) ['tRNA-Pro']	gene [768:836](+) None	
['NC_002386']	Paralichthys olivaceus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Carangaria', 'Pleuronectiformes', 'Pleuronectoidei', 'Paralichthyidae', 'Paralichthys']	        misc_feature [16464:16479](+) None	repeat_region [16479:16881](+) None	misc_feature [16196:16218](+) None	
